latitude,longitude,acq_date_converted,month,label,temp_max,rain,wind_speed_ms,wind_speed_kmh,humidity,ffmc,dmc,dc,isi,bui,fwi
19.58373,41.68538,7/7/2018,7,0,38.2,0,20.5,73.8,43,91.6643,11.261,25.58,224.0257,11.2155,87.5558
19.29062,41.7453,16-02-2023,2,0,29.1,0,20.2,72.72,70,85.3242,7.287,19.942,86.0123,7.6163,43.1339
16.80937,43.25808,30-03-2018,3,0,37.5,0,22.4,80.64,52,89.9166,9.1583,21.454,246.443,9.1277,86.7253
16.73671,43.0507,9/3/2018,3,0,34.1,0,25.3,91.08,76,85.0477,7.44,20.842,208.8186,7.8629,75.1913
16.73503,43.05075,3/3/2018,3,0,30.5,0.4,13.3,47.88,95,79.1482,6.2693,20.194,11.6594,7.0595,9.9196
19.28904,41.74561,27-03-2018,3,0,36.7,0,21.5,77.4,66,87.2888,8.1908,21.31,143.6217,8.3541,61.163
20.71611,39.82508,10/6/2025,6,0,43.2,0,28.9,104.04,37,93.7201,13.3475,26.18,1372.3975,13.2315,249.1154
17.60192,42.6679,8/12/2017,12,0,29.6,0,15.4,55.44,86,83.0734,6.4884,20.032,26.6337,7.1705,19.0082
18.24441,42.57733,23-05-2025,5,0,30.9,0,22.1,79.56,56,88.0659,9.7068,22.966,178.9629,9.6808,73.1625
18.90964,42.47947,27-10-2024,10,0,25.8,0.1,14.1,50.76,76,85.0477,6.9782,20.348,27.378,7.5141,19.7238
18.25057,42.42827,8/8/2018,8,0,22,0,14.7,52.92,84,82.6643,6.763,21.964,22.2691,7.6428,17.0472
20.96367,40.48217,1/7/2025,7,0,27.9,0,23.9,86.04,21,94.3658,16.8728,33.088,605.9116,16.7543,174.1535
20.05071,41.81031,12/8/2022,8,0,36.5,0,36,129.6,66,87.2781,8.6392,24.574,1990.2442,9.196,271.9896
19.29095,41.74485,7/8/2022,8,0,33.6,0,21.6,77.76,90,82.1016,6.7164,24.052,72.6153,7.9104,39.1541
18.36581,42.78764,28-06-2025,6,0,32.3,0,36.1,129.96,30,93.1716,12.1552,24.218,4693.6337,12.0473,450.9348
19.88891,41.67757,11/1/2025,1,0,15.5,0.7,22.3,80.28,100,74.1835,6,17.494,41.9431,6.4605,25.3472
20.71486,39.82353,4/9/2021,9,0,38.7,0,20.9,75.24,95,80.2261,6.3543,23.67,51.6073,7.6048,30.839
16.73666,43.05101,6/3/2018,3,0,33.1,0,18.1,65.16,94,80.0393,6.3498,20.662,30.4492,7.1818,20.9571
19.31525,41.61683,8/8/2024,8,0,31.9,0.4,14.7,52.92,95,79.3115,6.3406,23.746,15.2691,7.6047,12.7313
19.29025,41.74185,7/5/2023,5,0,37.5,0,16,57.6,63,87.947,9.76,24.154,58.1816,9.7552,36.3888
18.24866,42.57486,30-06-2018,6,0,25.4,0,21.7,78.12,66,85.4663,8.372,22.976,115.159,8.7621,54.2179
18.39115,42.71813,30-05-2020,5,0,31.9,0,25.7,92.52,35,92.0593,11.6471,23.146,608.486,11.5382,155.0561
20.71796,39.82737,16-05-2025,5,0,39.4,0,29.1,104.76,45,91.5294,11.8643,24.496,1045.9635,11.7733,208.6488
